,unique_layer_id,connecting_layer_id
0,1,1.0
1,1,2.0
2,1,11.0
3,1,18.0
4,2,2.0
5,2,3.0
6,2,11.0
7,2,18.0
8,3,3.0
9,3,4.0
10,3,5.0
11,3,11.0
12,3,18.0
13,4,4.0
14,4,5.0
15,5,5.0
16,5,6.0
17,5,25.0
18,5,31.0
19,6,6.0
20,6,7.0
21,6,25.0
22,6,31.0
23,7,7.0
24,7,8.0
25,7,25.0
26,7,31.0
27,8,8.0
28,8,9.0
29,8,37.0
30,8,43.0
31,9,9.0
32,9,10.0
33,9,37.0
34,9,43.0
35,10,10.0
36,11,5.0
37,11,11.0
38,11,12.0
39,11,5.0
40,11,25.0
41,12,12.0
42,12,13.0
43,12,25.0
44,12,5.0
45,12,25.0
46,12,26.0
47,13,13.0
48,13,14.0
49,13,25.0
50,13,26.0
51,13,5.0
52,13,26.0
53,13,27.0
54,13,28.0
55,14,14.0
56,14,15.0
57,14,26.0
58,14,5.0
59,14,25.0
60,14,26.0
61,14,27.0
62,15,15.0
63,15,16.0
64,15,27.0
65,15,25.0
66,15,26.0
67,15,27.0
68,15,28.0
69,16,16.0
70,16,17.0
71,16,28.0
72,16,26.0
73,16,27.0
74,16,28.0
75,16,29.0
76,17,17.0
77,17,29.0
78,17,30.0
79,17,27.0
80,17,28.0
81,17,29.0
82,17,30.0
83,18,5.0
84,18,18.0
85,18,19.0
86,18,5.0
87,18,31.0
88,19,19.0
89,19,20.0
90,19,31.0
91,19,5.0
92,19,31.0
93,19,32.0
94,20,20.0
95,20,21.0
96,20,31.0
97,20,32.0
98,20,5.0
99,20,31.0
100,20,32.0
101,20,33.0
102,21,21.0
103,21,22.0
104,21,32.0
105,21,5.0
106,21,31.0
107,21,32.0
108,21,33.0
109,22,22.0
110,22,23.0
111,22,33.0
112,22,31.0
113,22,32.0
114,22,33.0
115,22,34.0
116,23,23.0
117,23,24.0
118,23,34.0
119,23,32.0
120,23,33.0
121,23,34.0
122,23,35.0
123,24,24.0
124,24,35.0
125,24,36.0
126,24,33.0
127,24,34.0
128,24,35.0
129,24,36.0
130,25,25.0
131,25,26.0
132,25,38.0
133,25,39.0
134,26,26.0
135,26,27.0
136,26,39.0
137,26,40.0
138,27,27.0
139,27,28.0
140,27,40.0
141,27,41.0
142,28,28.0
143,28,29.0
144,28,41.0
145,28,42.0
146,29,29.0
147,29,30.0
148,29,42.0
149,30,30.0
150,31,31.0
151,31,32.0
152,31,44.0
153,31,45.0
154,32,32.0
155,32,33.0
156,32,45.0
157,32,46.0
158,33,33.0
159,33,34.0
160,33,46.0
161,33,47.0
162,34,34.0
163,34,35.0
164,34,47.0
165,34,48.0
166,35,35.0
167,35,36.0
168,35,48.0
169,36,36.0
170,37,37.0
171,37,38.0
172,38,38.0
173,38,39.0
174,39,39.0
175,39,40.0
176,40,40.0
177,40,41.0
178,41,41.0
179,41,42.0
180,42,42.0
181,43,43.0
182,43,44.0
183,44,44.0
184,44,45.0
185,45,45.0
186,45,46.0
187,46,46.0
188,46,47.0
189,47,47.0
190,47,48.0
191,48,48.0
