,volume_id,layer_id,unique_layer_id
0,8,2,1
1,8,4,2
2,8,6,3
3,8,8,4
4,13,2,5
5,13,4,6
6,13,6,7
7,13,8,8
8,17,2,9
9,17,4,10
10,7,14,11
11,7,12,12
12,7,10,13
13,7,8,14
14,7,6,15
15,7,4,16
16,7,2,17
17,9,2,18
18,9,4,19
19,9,6,20
20,9,8,21
21,9,10,22
22,9,12,23
23,9,14,24
24,12,12,25
25,12,10,26
26,12,8,27
27,12,6,28
28,12,4,29
29,12,2,30
30,14,2,31
31,14,4,32
32,14,6,33
33,14,8,34
34,14,10,35
35,14,12,36
36,16,12,37
37,16,10,38
38,16,8,39
39,16,6,40
40,16,4,41
41,16,2,42
42,18,2,43
43,18,4,44
44,18,6,45
45,18,8,46
46,18,10,47
47,18,12,48
