,z,z,z,r,r,r
,min,max,median,min,max,median
unique_layer_id,,,,,,
1.0,-48.7073,48.29,0.0214319,3.1439307,3.4421973,3.2079132
2.0,-49.0482,49.0807,0.075336404,7.1066437,7.3881025,7.2016726
3.0,-48.9634,49.064598,0.26595497,11.487987,11.770784,11.600149
4.0,-49.0496,49.0636,0.276875,17.078144,17.361385,17.200405
5.0,-108.28001,108.340004,1.14,25.60162,26.61304,26.013664
6.0,-108.04,108.268005,1.38,35.571007,36.583344,36.00311
7.0,-108.340004,108.196,1.14,49.548676,50.562187,50.008034
8.0,-108.159996,107.93199,1.14,65.53479,66.548904,66.00893
9.0,-107.86,107.86,1.6200001,81.52842,82.54119,82.012085
10.0,-107.86,107.86,2.7,101.52174,102.53462,102.01173
11.0,-60.25,-59.75,-60.2,3.031073,17.562439,5.8051543
12.0,-70.25,-69.75,-70.2,3.0228143,17.607939,5.798133
13.0,-82.25,-81.75,-81.8,3.028215,17.593218,5.846197
14.0,-96.25,-95.75,-96.2,3.2634988,17.588722,6.5670347
15.0,-110.25,-109.75,-110.2,3.0484526,17.559422,7.435827
16.0,-130.25,-129.75,-130.2,3.0737484,17.605389,8.692715
17.0,-150.25,-149.75,-149.8,3.990659,17.580353,9.8459835
18.0,59.75,60.25,59.8,3.02381,17.567013,5.913339
19.0,69.75,70.25,69.8,3.0258307,17.592434,6.0977907
20.0,81.75,82.25,81.8,3.0197139,17.577206,6.294982
21.0,95.75,96.25,95.8,3.3643024,17.608532,6.9582825
22.0,109.75,110.25,109.8,3.154617,17.58074,7.743614
23.0,129.75,130.25,130.2,3.6593852,17.601263,8.86162
24.0,149.75,150.25,149.8,3.092349,17.602957,9.998392
25.0,-122.45,-121.55,-121.85,24.060122,69.98311,42.42678
26.0,-150.45,-149.55,-149.85,24.064928,69.838455,40.847435
27.0,-180.45,-179.55,-179.85,24.060087,69.822914,39.914684
28.0,-215.45,-214.55,-214.85,24.064474,69.492805,40.24051
29.0,-255.45,-254.55,-254.85,24.061745,69.980995,39.867073
30.0,-295.45,-294.55,-294.85,24.066483,70.049545,41.313126
31.0,121.55,122.45,121.85,24.082699,69.83408,42.40272
32.0,149.55,150.45,149.85,24.062174,69.89007,41.54684
33.0,179.55,180.45,179.85,24.066315,69.87453,41.485806
34.0,214.55,215.45,214.85,24.06483,69.905655,40.41011
35.0,254.55,255.45,254.85,24.064358,69.62659,40.483963
36.0,294.55,295.45,294.85,24.087608,69.96413,40.29648
37.0,-122.55,-121.45,-121.75,75.52037,101.53984,87.06406
38.0,-150.55,-149.45,-149.75,75.52289,101.58646,87.0508
39.0,-180.55,-179.45,-179.75,75.52034,101.51819,86.92089
40.0,-215.55,-214.45,-214.75,75.521835,101.6859,87.009895
41.0,-255.55,-254.45,-254.75,75.52016,101.4818,86.99477
42.0,-295.55,-294.45,-294.75,75.52075,101.64638,86.96004
43.0,121.45,122.55,121.75,75.52209,101.52706,87.03981
44.0,149.45,150.55,149.75,75.52408,101.726685,86.965256
45.0,179.45,180.55,179.75,75.51998,101.63231,87.07222
46.0,214.45,215.55,214.75,75.52067,101.55196,86.985245
47.0,254.45,255.55,254.75,75.520615,101.60097,86.49315
48.0,294.45,295.55,294.75,75.520065,101.48584,86.96082
