,volume_id,layer_id,unique_layer_id
0,8,2,1
1,8,4,2
2,8,6,3
3,8,8,4
4,7,14,5
5,7,12,6
6,7,10,7
7,7,8,8
8,7,6,9
9,7,4,10
10,7,2,11
11,9,2,12
12,9,4,13
13,9,6,14
14,9,8,15
15,9,10,16
16,9,12,17
17,9,14,18
18,13,2,19
19,13,4,20
20,13,6,21
21,13,8,22
22,12,12,23
23,12,10,24
24,12,8,25
25,12,6,26
26,12,4,27
27,12,2,28
28,14,2,29
29,14,4,30
30,14,6,31
31,14,8,32
32,14,10,33
33,14,12,34
34,16,12,35
35,16,10,36
36,16,8,37
37,16,6,38
38,16,4,39
39,16,2,40
40,17,2,41
41,17,4,42
42,18,2,43
43,18,4,44
44,18,6,45
45,18,8,46
46,18,10,47
47,18,12,48
